,query_name,query
78,TCP Connections,"node_netstat_Tcp_CurrEstab{instance=""$node"",job=""$job""}"
79,TCP direct Transition Active,"irate(node_netstat_Tcp_ActiveOpens{instance=""$node"",job=""$job""}[$__rate_interval])"
80,TCP direct Transition Passive,"irate(node_netstat_Tcp_PassiveOpens{instance=""$node"",job=""$job""}[$__rate_interval])"
81,Node Exporter Bunch of data,"node_scrape_collector_duration_seconds{instance=""$node"",job=""$job""}"
82,Node exporter scarpe success,"node_scrape_collector_success{instance=""$node"",job=""$job""}"
83,node exporter scarpe error,"node_textfile_scrape_error{instance=""$node"",job=""$job""}"
84,Memory Used Percent,libvirt_domain_memory_stats_used_percent
85,Total Memory inside VM,libvirt_domain_info_maximum_memory_bytes{}
86,Available Memory İnside Working VM,libvirt_domain_memory_stats_usable_bytes{}
87,Cache Memory,libvirt_domain_memory_stats_disk_cache_bytes{}
88,Current Balloon Value,libvirt_domain_memory_stats_actual_balloon_bytes{}
89,RSS value,libvirt_domain_memory_stats_rss_bytes{}
90,Total CPU,libvirt_domain_info_virtual_cpus{}
91,vCPU usage,"avg by (domain) (irate(libvirt_domain_info_cpu_time_seconds_total{host=~""$compute"", job=~""libvirt_exporter""}[30s])) * 100"
92,vCPU used Percentage,(avg by (domain) (irate(libvirt_domain_info_cpu_time_seconds_total{}[30s])) * 100)-0
93,vCPU counts,libvirt_domain_info_virtual_cpus{}
94,Network Traffic,irate(libvirt_domain_interface_stats_transmit_bytes_total{}[5m])
95,Rate of Packages received on a network interface,rate(libvirt_domain_interface_stats_receive_packets_total{}[5m])
96,Network dropped packages number,rate(libvirt_domain_interface_stats_transmit_drops_total{}[5m])
97,Network packages number of errors received,rate(libvirt_domain_interface_stats_receive_errors_total{}[5m])
98,Write Requests to a block device,irate(libvirt_domain_block_stats_write_requests_total{}[5m])
99,Read Requests to a block device,irate(libvirt_domain_block_stats_read_requests_total{}[5m])
100,Bytes written to a block device,irate(libvirt_domain_block_stats_write_bytes_total{}[5m])
101,Bytes that are read from a block device,irate(libvirt_domain_block_stats_read_bytes_total{}[5m])
102,Image Allocation,libvirt_domain_block_stats_allocation{}
103,IOPS Read,rate(libvirt_domain_block_stats_read_requests_total{}[30s])
104,IOPS Write,rate(libvirt_domain_block_stats_write_requests_total{}[30s])
105,Throughput Read,rate(libvirt_domain_block_stats_read_bytes_total{}[30s])
106,Throughput Write,rate(libvirt_domain_block_stats_write_bytes_total{}[30s])
107,Network Recieved data (RX),rate(libvirt_domain_interface_stats_receive_bytes_total{}[30s])
108,Network Sent data (TX),rate(libvirt_domain_interface_stats_transmit_bytes_total{}[30s])
109,Network Received packets,rate(libvirt_domain_interface_stats_receive_packets_total{}[30s])
110,Network Sent packets,rate(libvirt_domain_interface_stats_transmit_packets_total{}[30s])
111,Error received on received packets,rate(libvirt_domain_interface_stats_receive_errors_total{}[30s])
112,Error received on packets sent,rate(libvirt_domain_interface_stats_transmit_errors_total{}[30s])
113,Drops of received packets,rate(libvirt_domain_interface_stats_receive_drops_total{}[30s])
114,Drops of packets sent,rate(libvirt_domain_interface_stats_transmit_drops_total{}[30s])
115,Total Machine Number,sum(libvirt_domain_info_meta{})
116,Running VM number,count(libvirt_domain_info_vstate{} ==1)
117,Number of VMs closed,count(libvirt_domain_info_vstate{} ==5)
