query_name,query,description
TCP Sockstat Memory Bytes,"node_sockstat_TCP_mem_bytes{instance=$}/(1024*1024)",TCP sockstat memory bytes
UDP Sockstat Memory Bytes,"node_sockstat_UDP_mem_bytes{instance=$}/(1024*1024)",UDP sockstat memory bytes
FRAG Memory,"node_sockstat_FRAG_memory{instance=$}",node memory for frag
Sockstat TCP Allocated Sockets,"node_sockstat_TCP_alloc{instance=$}",Sockstat TCP Allocated Sockets
Sockstat TCP Inuse,"node_sockstat_TCP_inuse{instance=$}",Sockstat TCP tcp sockets currently in use
Sockstat TCP Memory,"node_sockstat_TCP_mem{instance=$}",Sockstat TCP used memory
Sockstat TCP Orphan,"node_sockstat_TCP_orphan{instance=$}",Sockstat TCP Orphan Sockets
Sockstat TCP waiting,"node_sockstat_TCP_tw{instance=$}",Sockstat TCP Sockets Waiting for to close
Sockstat UDP Inuse,"node_sockstat_UDP_inuse{instance=$}",Sockstat Udp in use
Sockstat Udplite Inuse,"node_sockstat_UDPLITE_inuse{instance=$}",Uplite Sockets currently in use
Sockstat UDP Memory,"node_sockstat_UDP_mem{instance=$}",Used memory for udp
TCP Connections established/close,"node_netstat_Tcp_CurrEstab{instance=$}",TCP Connections for which the current state is either established or close-wait
Datagrams Received,"irate(node_netstat_Udp_InDatagrams{instance=$}[#])",UDP in datagrams received
DataGrams Sent,"irate(node_netstat_Udp_OutDatagrams{instance=$}[#])",UDO datagrams sent
Netstat Received Octets,"irate(node_netstat_IpExt_InOctets{instance=$}[#])",netstat ip in octets
Netstat Sent Octets,"irate(node_netstat_IpExt_OutOctets{instance=$}[#])",netstat ip out octets
TCP Segments Received,"irate(node_netstat_Tcp_InSegs{instance=$}[#])",segments received including errors count of currently established connections
TCP Segments Sent,"irate(node_netstat_Tcp_OutSegs{instance=$}[#])",segments sent on current connections but excluding those contain only transmitted octets
TCP Error overflowed,"irate(node_netstat_TcpExt_ListenOverflows{instance=$}[#])",Times the listen queue of a socket is overflowed
TCP Error listendrop,"irate(node_netstat_TcpExt_ListenDrops{instance=$}[#])",SYNs to listen sockets ignored
TCP Error Retrans,"irate(node_netstat_TcpExt_TCPSynRetrans{instance=$}[#])",SYN-SYN/ACK retransmits to break down retransmissions in SYN fast/timeout retransmits
TCP Error Retransegs,"irate(node_netstat_Tcp_RetransSegs{instance=$}[#])",Segments retransmitted - that is the number of TCP segments transmitted containing one or more previously transmitted octets
TCP Segment Error Received,"irate(node_netstat_Tcp_InErrs{instance=$}[#])",Segments received in error(bad checksums)
TCP Out RST flag,"irate(node_netstat_Tcp_OutRsts{instance=$}[#])",Segments sent with RST flag
UDP Inerrors,"irate(node_netstat_Udp_InErrors{instance=$}[#])",UDP Datagrams that could not be delivered to an application
UDP Noports,"irate(node_netstat_Udp_NoPorts{instance=$}[#])",UDP datagrams received on a port with no listener
UDPlite inerrors,"irate(node_netstat_UdpLite_InErrors{instance=$}[#])",UDPlite Datagrams that could not be delivered to an application
UDP Buffer Errors received,"irate(node_netstat_Udp_RcvbufErrors{instance=$}[#])",UDP buffer errors received
UDP Buffer Errors sent,"irate(node_netstat_Udp_SndbufErrors{instance=$}[#])",UDP buffer errors sent
